Año,CCAA,Turistas_Internacionales,Turistas_Nacionales,Gasto
2024,Castilla y León,2007017.0,37035119.0,1395072923.56
2024,Cataluña,28434563.0,56281663.0,5439457264.77
2024,Ceuta,64048.0,367856.0,23096660.05
2024,Comunidad Valenciana,12312558.0,37771483.0,2910655339.8
2024,Extremadura,1368929.0,9866701.0,239247360.27
2024,Galicia,4542561.0,21616290.0,682446207.07
2024,Illes Balears,15684136.0,5809212.0,2012714548.81
2024,La Rioja,160307.0,4217006.0,208150409.78
2024,Madrid,8886161.0,41144206.0,3799203977.43
2024,Melilla,29078.0,237701.0,6450267.42
2024,Navarra,3811245.0,5504122.0,524453323.42
2024,País Vasco,10429846.0,13981226.0,734294344.44
2024,Principado de Asturias,340715.0,7049120.0,204297230.53
2024,Región de Murcia,1179558.0,7142906.0,719138164.81
2025,Andalucía,6371178.0,13537024.0,1580239426.1399999
2025,Aragón,400926.0,3772113.0,285807212.40999997
2025,Canarias,7398987.0,1635774.0,599266264.22
2025,Cantabria,132736.0,1298223.0,102176414.19
2025,Castilla - La Mancha,93881.0,6058495.0,427169782.44
2025,Castilla y León,969553.0,7274600.0,482553784.09000003
2025,Cataluña,10524850.0,10288371.0,2256155846.02
2025,Ceuta,957.0,72361.0,8114851.43
2025,Comunidad Valenciana,4622145.0,6399506.0,1031463051.38
2025,Extremadura,512166.0,2068786.0,128061001.81
2025,Galicia,1519198.0,4190387.0,245125408.38
2025,Illes Balears,4299022.0,808660.0,434055298.52
2025,La Rioja,46652.0,857810.0,77897455.21
2025,Madrid,3824162.0,9221410.0,1609018149.6399999
2025,Melilla,589.0,44345.0,5890542.97
2025,Navarra,1567395.0,1053054.0,100501612.26
2025,País Vasco,4603828.0,2927097.0,293771998.19
2025,Principado de Asturias,93765.0,1218067.0,107626209.72
2025,Región de Murcia,468829.0,1350896.0,192117447.3
