AÑO,CCAA_DESTINO,TIPO_VISITANTE_GROUP,TOTAL,TIPO_CCAA
2021,Comunidad Foral de Navarra,Excursionista,17,Otra
2021,Comunidad Foral de Navarra,Turista,112,Otra
2021,Comunidad de Madrid,Excursionista,46,Otra
2021,Comunidad de Madrid,Turista,297,Otra
2021,Comunitat Valenciana,Excursionista,14,Otra
2021,Comunitat Valenciana,Turista,240,Otra
2021,Extremadura,Excursionista,17,Emergente
2021,Extremadura,Turista,116,Emergente
2021,Galicia,Excursionista,64,Emergente
2021,Galicia,Turista,184,Emergente
2021,Illes Balears,Excursionista,58,Tradicional
2021,Illes Balears,Turista,182,Tradicional
2021,La Rioja,Excursionista,1,Emergente
2021,La Rioja,Turista,69,Emergente
2021,Melilla,Turista,10,Otra
2021,País Vasco,Excursionista,47,Emergente
2021,País Vasco,Turista,255,Emergente
2021,Principado de Asturias,Excursionista,1,Otra
2021,Principado de Asturias,Turista,134,Otra
2021,Región de Murcia,Excursionista,2,Otra
2021,Región de Murcia,Turista,152,Otra
2021,Transito,Excursionista,176,Otra
2022,Andalucía,Excursionista,112,Tradicional
2022,Andalucía,Turista,302,Tradicional
2022,Aragón,Excursionista,26,Emergente
2022,Aragón,Turista,168,Emergente
2022,Canarias,Excursionista,52,Tradicional
2022,Canarias,Turista,193,Tradicional
2022,Cantabria,Excursionista,4,Emergente
2022,Cantabria,Turista,167,Emergente
2022,Castilla y León,Excursionista,24,Emergente
2022,Castilla y León,Turista,242,Emergente
2022,Castilla-La Mancha,Excursionista,1,Otra
2022,Castilla-La Mancha,Turista,144,Otra
2022,Cataluña,Excursionista,137,Tradicional
2022,Cataluña,Turista,310,Tradicional
2022,Ceuta,Turista,3,Otra
2022,Comunidad Foral de Navarra,Excursionista,17,Otra
2022,Comunidad Foral de Navarra,Turista,141,Otra
2022,Comunidad de Madrid,Excursionista,62,Otra
2022,Comunidad de Madrid,Turista,299,Otra
2022,Comunitat Valenciana,Excursionista,63,Otra
2022,Comunitat Valenciana,Turista,291,Otra
2022,Extremadura,Excursionista,23,Emergente
2022,Extremadura,Turista,118,Emergente
2022,Galicia,Excursionista,78,Emergente
2022,Galicia,Turista,208,Emergente
2022,Illes Balears,Excursionista,78,Tradicional
2022,Illes Balears,Turista,226,Tradicional
2022,La Rioja,Turista,81,Emergente
2022,Melilla,Turista,2,Otra
2022,País Vasco,Excursionista,61,Emergente
2022,País Vasco,Turista,258,Emergente
2022,Principado de Asturias,Turista,145,Otra
2022,Región de Murcia,Turista,180,Otra
2022,Transito,Excursionista,155,Otra
2023,Andalucía,Turista,315,Tradicional
2023,Aragón,Turista,196,Emergente
2023,Canarias,Turista,212,Tradicional
2023,Cantabria,Turista,166,Emergente
2023,Castilla y León,Turista,265,Emergente
