CATEGORIA,CCAA,PROVINCIA,VALORACION_POR_CATEGORIA,TOTAL_OPINIONES_CATEGORIA,VALORACION_GENERAL,TIPO_CATEGORIA,TIPO_CCAA
Otros,La Rioja,La Rioja,"4,1",147,"4,34",Turismo Neutro,Emergente
Otros,País Vasco,Bizkaia,"4,82",394,"4,35",Turismo Neutro,Emergente
Otros,País Vasco,Gipuzkoa,"3,96",25,"4,4",Turismo Neutro,Emergente
Otros,Principado de Asturias,Asturias,"4,44",10,"4,39",Turismo Neutro,Otra
Paisaje Naturaleza,Andalucía,Almería,"4,45",3086,"4,27",Turismo Pausado,Tradicional
Paisaje Naturaleza,Andalucía,Cádiz,"4,24",5482,"4,28",Turismo Pausado,Tradicional
Paisaje Naturaleza,Andalucía,Córdoba,"4,32",819,"4,33",Turismo Pausado,Tradicional
Paisaje Naturaleza,Andalucía,Granada,"4,53",5668,"4,42",Turismo Pausado,Tradicional
Paisaje Naturaleza,Andalucía,Huelva,"4,08",1815,"4,13",Turismo Pausado,Tradicional
Paisaje Naturaleza,Andalucía,Jaén,"4,23",621,"4,36",Turismo Pausado,Tradicional
Paisaje Naturaleza,Andalucía,Málaga,"4,44",22034,"4,45",Turismo Pausado,Tradicional
Paisaje Naturaleza,Andalucía,Sevilla,"4,56",11790,"4,37",Turismo Pausado,Tradicional
Paisaje Naturaleza,Aragón,Huesca,"4,5",4166,"4,26",Turismo Pausado,Emergente
Paisaje Naturaleza,Aragón,Teruel,"4,35",468,"4,31",Turismo Pausado,Emergente
Paisaje Naturaleza,Aragón,Zaragoza,"4,25",2549,"4,22",Turismo Pausado,Emergente
Paisaje Naturaleza,Canarias,Las Palmas,"4,22",50610,"4,29",Turismo Pausado,Tradicional
Paisaje Naturaleza,Canarias,Santa Cruz de Tenerife,"4,31",34073,"4,3",Turismo Pausado,Tradicional
Paisaje Naturaleza,Cantabria,Cantabria,"4,32",12375,"4,3",Turismo Pausado,Emergente
Paisaje Naturaleza,Castilla - La Mancha,Albacete,"4,27",427,"4,17",Turismo Pausado,Otra
Paisaje Naturaleza,Castilla - La Mancha,Ciudad Real,"4,39",1920,"4,32",Turismo Pausado,Otra
Paisaje Naturaleza,Castilla - La Mancha,Cuenca,"4,46",1039,"4,25",Turismo Pausado,Otra
Paisaje Naturaleza,Castilla - La Mancha,Guadalajara,"3,96",174,"4,07",Turismo Pausado,Otra
Paisaje Naturaleza,Castilla - La Mancha,Toledo,"3,88",69,"4,22",Turismo Pausado,Otra
Paisaje Naturaleza,Castilla y León,Burgos,"4,33",1547,"4,31",Turismo Pausado,Emergente
Paisaje Naturaleza,Castilla y León,León,"4,52",703,"4,28",Turismo Pausado,Emergente
Paisaje Naturaleza,Castilla y León,Palencia,"4,55",124,"4,35",Turismo Pausado,Emergente
Paisaje Naturaleza,Castilla y León,Salamanca,"4,37",1399,"4,19",Turismo Pausado,Emergente
Paisaje Naturaleza,Castilla y León,Segovia,"4,0",2927,"4,08",Turismo Pausado,Emergente
Paisaje Naturaleza,Castilla y León,Soria,"4,04",1232,"3,95",Turismo Pausado,Emergente
Paisaje Naturaleza,Castilla y León,Valladolid,"3,96",2210,"4,07",Turismo Pausado,Emergente
Paisaje Naturaleza,Castilla y León,Zamora,"4,39",1254,"4,23",Turismo Pausado,Emergente
Paisaje Naturaleza,Castilla y León,Ávila,"4,69",393,"4,28",Turismo Pausado,Emergente
Paisaje Naturaleza,Cataluña,Barcelona,"4,03",106016,"4,11",Turismo Pausado,Tradicional
Paisaje Naturaleza,Cataluña,Girona,"4,34",16484,"4,27",Turismo Pausado,Tradicional
Paisaje Naturaleza,Cataluña,Lleida,"4,23",1905,"4,29",Turismo Pausado,Tradicional
Paisaje Naturaleza,Cataluña,Tarragona,"4,09",8129,"4,23",Turismo Pausado,Tradicional
Paisaje Naturaleza,Comunidad Foral de Navarra,Navarra,"4,18",1424,"4,26",Turismo Pausado,Otra
Paisaje Naturaleza,Comunidad de Madrid,Madrid,"4,19",74787,"4,18",Turismo Pausado,Otra
Paisaje Naturaleza,Comunitat Valenciana,Alicante/Alacant,"4,28",13181,"4,3",Turismo Pausado,Otra
Paisaje Naturaleza,Comunitat Valenciana,Castellón/Castelló,"4,14",735,"4,26",Turismo Pausado,Otra
Paisaje Naturaleza,Comunitat Valenciana,Valencia/València,"4,21",12786,"4,19",Turismo Pausado,Otra
Paisaje Naturaleza,Extremadura,Badajoz,"4,37",195,"4,3",Turismo Pausado,Emergente
Paisaje Naturaleza,Extremadura,Cáceres,"4,54",2585,"4,39",Turismo Pausado,Emergente
Paisaje Naturaleza,Galicia,A Coruña,"4,37",5904,"4,26",Turismo Pausado,Emergente
Paisaje Naturaleza,Galicia,Lugo,"4,53",491,"4,3",Turismo Pausado,Emergente
Paisaje Naturaleza,Galicia,Ourense,"4,4",66,"4,19",Turismo Pausado,Emergente
Paisaje Naturaleza,Galicia,Pontevedra,"4,28",3096,"4,2",Turismo Pausado,Emergente
Paisaje Naturaleza,Illes Balears,Illes Balears,"4,38",44308,"4,36",Turismo Pausado,Tradicional
Paisaje Naturaleza,La Rioja,La Rioja,"4,36",516,"4,34",Turismo Pausado,Emergente
Paisaje Naturaleza,Melilla,Melilla,"4,83",39,"4,41",Turismo Pausado,Otra
Paisaje Naturaleza,País Vasco,Araba/Álava,"4,71",721,"4,4",Turismo Pausado,Emergente
Paisaje Naturaleza,País Vasco,Bizkaia,"4,42",5202,"4,35",Turismo Pausado,Emergente
Paisaje Naturaleza,País Vasco,Gipuzkoa,"4,61",8033,"4,4",Turismo Pausado,Emergente
Paisaje Naturaleza,Principado de Asturias,Asturias,"4,43",14233,"4,39",Turismo Pausado,Otra
Paisaje Naturaleza,Región de Murcia,Murcia,"4,32",506,"4,28",Turismo Pausado,Otra
Paisaje Urbano,Andalucía,Almería,"4,03",8852,"4,27",Turismo de Fiesta,Tradicional
Paisaje Urbano,Andalucía,Cádiz,"4,15",6061,"4,28",Turismo de Fiesta,Tradicional
Paisaje Urbano,Andalucía,Córdoba,"4,18",73820,"4,33",Turismo de Fiesta,Tradicional
Paisaje Urbano,Andalucía,Granada,"4,34",110518,"4,42",Turismo de Fiesta,Tradicional
Paisaje Urbano,Andalucía,Huelva,"4,02",9434,"4,13",Turismo de Fiesta,Tradicional
Paisaje Urbano,Andalucía,Jaén,"4,31",15053,"4,36",Turismo de Fiesta,Tradicional
Paisaje Urbano,Andalucía,Málaga,"4,27",107915,"4,45",Turismo de Fiesta,Tradicional
Paisaje Urbano,Andalucía,Sevilla,"4,48",188007,"4,37",Turismo de Fiesta,Tradicional
Paisaje Urbano,Aragón,Huesca,"3,99",9232,"4,26",Turismo de Fiesta,Emergente
Paisaje Urbano,Aragón,Teruel,"4,23",9865,"4,31",Turismo de Fiesta,Emergente
Paisaje Urbano,Aragón,Zaragoza,"4,15",34166,"4,22",Turismo de Fiesta,Emergente
Paisaje Urbano,Canarias,Las Palmas,"4,01",8310,"4,29",Turismo de Fiesta,Tradicional
Paisaje Urbano,Canarias,Santa Cruz de Tenerife,"4,09",9055,"4,3",Turismo de Fiesta,Tradicional
Paisaje Urbano,Cantabria,Cantabria,"4,25",21563,"4,3",Turismo de Fiesta,Emergente
Paisaje Urbano,Castilla - La Mancha,Albacete,"4,07",3331,"4,17",Turismo de Fiesta,Otra
Paisaje Urbano,Castilla - La Mancha,Ciudad Real,"4,09",5297,"4,32",Turismo de Fiesta,Otra
Paisaje Urbano,Castilla - La Mancha,Cuenca,"3,96",10789,"4,25",Turismo de Fiesta,Otra
Paisaje Urbano,Castilla - La Mancha,Guadalajara,"4,0",5941,"4,07",Turismo de Fiesta,Otra
Paisaje Urbano,Castilla - La Mancha,Toledo,"4,0",41315,"4,22",Turismo de Fiesta,Otra
Paisaje Urbano,Castilla y León,Burgos,"4,2",18867,"4,31",Turismo de Fiesta,Emergente
Paisaje Urbano,Castilla y León,León,"4,12",20232,"4,28",Turismo de Fiesta,Emergente
Paisaje Urbano,Castilla y León,Palencia,"4,22",3261,"4,35",Turismo de Fiesta,Emergente
Paisaje Urbano,Castilla y León,Salamanca,"4,06",29855,"4,19",Turismo de Fiesta,Emergente
Paisaje Urbano,Castilla y León,Segovia,"3,96",21946,"4,08",Turismo de Fiesta,Emergente
Paisaje Urbano,Castilla y León,Soria,"3,84",6148,"3,95",Turismo de Fiesta,Emergente
Paisaje Urbano,Castilla y León,Valladolid,"3,79",10496,"4,07",Turismo de Fiesta,Emergente
Paisaje Urbano,Castilla y León,Zamora,"4,06",6438,"4,23",Turismo de Fiesta,Emergente
Paisaje Urbano,Castilla y León,Ávila,"4,02",14720,"4,28",Turismo de Fiesta,Emergente
Paisaje Urbano,Cataluña,Barcelona,"3,89",567948,"4,11",Turismo de Fiesta,Tradicional
Paisaje Urbano,Cataluña,Girona,"4,08",43542,"4,27",Turismo de Fiesta,Tradicional
Paisaje Urbano,Cataluña,Lleida,"4,12",4801,"4,29",Turismo de Fiesta,Tradicional
Paisaje Urbano,Cataluña,Tarragona,"3,96",23225,"4,23",Turismo de Fiesta,Tradicional
Paisaje Urbano,Comunidad Foral de Navarra,Navarra,"4,14",13412,"4,26",Turismo de Fiesta,Otra
Paisaje Urbano,Comunidad de Madrid,Madrid,"3,94",224479,"4,18",Turismo de Fiesta,Otra
Paisaje Urbano,Comunitat Valenciana,Alicante/Alacant,"4,06",52602,"4,3",Turismo de Fiesta,Otra
Paisaje Urbano,Comunitat Valenciana,Castellón/Castelló,"4,13",10593,"4,26",Turismo de Fiesta,Otra
Paisaje Urbano,Comunitat Valenciana,Valencia/València,"4,18",81349,"4,19",Turismo de Fiesta,Otra
Paisaje Urbano,Extremadura,Badajoz,"4,24",23050,"4,3",Turismo de Fiesta,Emergente
Paisaje Urbano,Extremadura,Cáceres,"4,19",15001,"4,39",Turismo de Fiesta,Emergente
Paisaje Urbano,Galicia,A Coruña,"4,18",44281,"4,26",Turismo de Fiesta,Emergente
Paisaje Urbano,Galicia,Lugo,"4,06",6808,"4,3",Turismo de Fiesta,Emergente
Paisaje Urbano,Galicia,Ourense,"4,18",3956,"4,19",Turismo de Fiesta,Emergente
Paisaje Urbano,Galicia,Pontevedra,"4,12",14922,"4,2",Turismo de Fiesta,Emergente
Paisaje Urbano,Illes Balears,Illes Balears,"4,07",71892,"4,36",Turismo de Fiesta,Tradicional
Paisaje Urbano,La Rioja,La Rioja,"4,17",9704,"4,34",Turismo de Fiesta,Emergente
Paisaje Urbano,Melilla,Melilla,"3,0",1,"4,41",Turismo de Fiesta,Otra
Paisaje Urbano,País Vasco,Araba/Álava,"4,31",5484,"4,4",Turismo de Fiesta,Emergente
Paisaje Urbano,País Vasco,Bizkaia,"4,28",26909,"4,35",Turismo de Fiesta,Emergente
Paisaje Urbano,País Vasco,Gipuzkoa,"4,21",17246,"4,4",Turismo de Fiesta,Emergente
Paisaje Urbano,Principado de Asturias,Asturias,"4,26",27886,"4,39",Turismo de Fiesta,Otra
Paisaje Urbano,Región de Murcia,Murcia,"4,15",6803,"4,28",Turismo de Fiesta,Otra
Servicios,Andalucía,Almería,"4,41",139,"4,27",Turismo Neutro,Tradicional
Servicios,Andalucía,Cádiz,"4,42",19,"4,28",Turismo Neutro,Tradicional
Servicios,Andalucía,Córdoba,"4,31",16,"4,33",Turismo Neutro,Tradicional
Servicios,Andalucía,Granada,"4,65",1105,"4,42",Turismo Neutro,Tradicional
Servicios,Andalucía,Huelva,"4,34",25,"4,13",Turismo Neutro,Tradicional
Servicios,Andalucía,Jaén,"4,56",36,"4,36",Turismo Neutro,Tradicional
Servicios,Andalucía,Málaga,"4,65",20153,"4,45",Turismo Neutro,Tradicional
Servicios,Andalucía,Sevilla,"4,01",1249,"4,37",Turismo Neutro,Tradicional
Servicios,Aragón,Huesca,"4,9",179,"4,26",Turismo Neutro,Emergente
Servicios,Aragón,Teruel,"4,16",12,"4,31",Turismo Neutro,Emergente
Servicios,Aragón,Zaragoza,"3,81",30,"4,22",Turismo Neutro,Emergente
Servicios,Canarias,Las Palmas,"3,64",1624,"4,29",Turismo Neutro,Tradicional
Servicios,Canarias,Santa Cruz de Tenerife,"3,89",2069,"4,3",Turismo Neutro,Tradicional
Servicios,Cantabria,Cantabria,"3,91",1650,"4,3",Turismo Neutro,Emergente
Servicios,Castilla - La Mancha,Ciudad Real,"3,0",1,"4,32",Turismo Neutro,Otra
Servicios,Castilla - La Mancha,Cuenca,"5,0",4,"4,25",Turismo Neutro,Otra
Servicios,Castilla - La Mancha,Guadalajara,"5,0",1,"4,07",Turismo Neutro,Otra
Servicios,Castilla - La Mancha,Toledo,"3,25",10,"4,22",Turismo Neutro,Otra
Servicios,Castilla y León,Burgos,"3,0",3,"4,31",Turismo Neutro,Emergente
Servicios,Castilla y León,León,"4,7",11,"4,28",Turismo Neutro,Emergente
Servicios,Castilla y León,Palencia,"5,0",4,"4,35",Turismo Neutro,Emergente
Servicios,Castilla y León,Salamanca,"3,23",485,"4,19",Turismo Neutro,Emergente
Servicios,Castilla y León,Segovia,"3,32",47,"4,08",Turismo Neutro,Emergente
Servicios,Castilla y León,Soria,"2,0",1,"3,95",Turismo Neutro,Emergente
Servicios,Castilla y León,Valladolid,"3,08",278,"4,07",Turismo Neutro,Emergente
Servicios,Castilla y León,Zamora,"5,0",1,"4,23",Turismo Neutro,Emergente
Servicios,Cataluña,Barcelona,"4,06",66773,"4,11",Turismo Neutro,Tradicional
Servicios,Cataluña,Girona,"4,04",582,"4,27",Turismo Neutro,Tradicional
Servicios,Cataluña,Lleida,"3,8",103,"4,29",Turismo Neutro,Tradicional
Servicios,Cataluña,Tarragona,"3,52",3091,"4,23",Turismo Neutro,Tradicional
Servicios,Comunidad Foral de Navarra,Navarra,"2,06",67,"4,26",Turismo Neutro,Otra
Servicios,Comunidad de Madrid,Madrid,"3,8",16411,"4,18",Turismo Neutro,Otra
Servicios,Comunitat Valenciana,Alicante/Alacant,"3,87",12587,"4,3",Turismo Neutro,Otra
Servicios,Comunitat Valenciana,Castellón/Castelló,"3,68",367,"4,26",Turismo Neutro,Otra
Servicios,Comunitat Valenciana,Valencia/València,"4,67",2849,"4,19",Turismo Neutro,Otra
Servicios,Extremadura,Cáceres,"4,99",34,"4,39",Turismo Neutro,Emergente
Servicios,Galicia,A Coruña,"3,98",236,"4,26",Turismo Neutro,Emergente
Servicios,Galicia,Lugo,"3,93",319,"4,3",Turismo Neutro,Emergente
Servicios,Galicia,Ourense,"3,18",18,"4,19",Turismo Neutro,Emergente
Servicios,Galicia,Pontevedra,"4,1",501,"4,2",Turismo Neutro,Emergente
Servicios,Illes Balears,Illes Balears,"4,22",17230,"4,36",Turismo Neutro,Tradicional
Servicios,La Rioja,La Rioja,"4,43",7,"4,34",Turismo Neutro,Emergente
Servicios,País Vasco,Araba/Álava,"5,0",9,"4,4",Turismo Neutro,Emergente
Servicios,País Vasco,Bizkaia,"3,95",4709,"4,35",Turismo Neutro,Emergente
Servicios,País Vasco,Gipuzkoa,"3,67",107,"4,4",Turismo Neutro,Emergente
Servicios,Principado de Asturias,Asturias,"3,99",1137,"4,39",Turismo Neutro,Otra
Servicios,Región de Murcia,Murcia,"2,67",4,"4,28",Turismo Neutro,Otra
Vida Nocturna,Andalucía,Almería,"3,77",1703,"4,27",Turismo de Fiesta,Tradicional
Vida Nocturna,Andalucía,Cádiz,"4,1",945,"4,28",Turismo de Fiesta,Tradicional
Vida Nocturna,Andalucía,Córdoba,"4,26",847,"4,33",Turismo de Fiesta,Tradicional
Vida Nocturna,Andalucía,Granada,"3,96",4319,"4,42",Turismo de Fiesta,Tradicional
Vida Nocturna,Andalucía,Huelva,"4,08",735,"4,13",Turismo de Fiesta,Tradicional
Vida Nocturna,Andalucía,Jaén,"3,92",322,"4,36",Turismo de Fiesta,Tradicional
Vida Nocturna,Andalucía,Málaga,"4,35",22789,"4,45",Turismo de Fiesta,Tradicional
Vida Nocturna,Andalucía,Sevilla,"4,1",15795,"4,37",Turismo de Fiesta,Tradicional
Vida Nocturna,Aragón,Huesca,"3,79",481,"4,26",Turismo de Fiesta,Emergente
Vida Nocturna,Aragón,Teruel,"4,34",416,"4,31",Turismo de Fiesta,Emergente
Vida Nocturna,Aragón,Zaragoza,"3,73",648,"4,22",Turismo de Fiesta,Emergente
Vida Nocturna,Canarias,Las Palmas,"4,19",47827,"4,29",Turismo de Fiesta,Tradicional
Vida Nocturna,Canarias,Santa Cruz de Tenerife,"4,08",24621,"4,3",Turismo de Fiesta,Tradicional
Vida Nocturna,Cantabria,Cantabria,"4,03",2391,"4,3",Turismo de Fiesta,Emergente
Vida Nocturna,Castilla - La Mancha,Albacete,"4,26",218,"4,17",Turismo de Fiesta,Otra
Vida Nocturna,Castilla - La Mancha,Ciudad Real,"4,15",156,"4,32",Turismo de Fiesta,Otra
Vida Nocturna,Castilla - La Mancha,Cuenca,"3,93",276,"4,25",Turismo de Fiesta,Otra
Vida Nocturna,Castilla - La Mancha,Guadalajara,"3,32",166,"4,07",Turismo de Fiesta,Otra
Vida Nocturna,Castilla - La Mancha,Toledo,"3,95",188,"4,22",Turismo de Fiesta,Otra
Vida Nocturna,Castilla y León,Burgos,"4,12",391,"4,31",Turismo de Fiesta,Emergente
Vida Nocturna,Castilla y León,León,"4,04",650,"4,28",Turismo de Fiesta,Emergente
Vida Nocturna,Castilla y León,Palencia,"4,18",141,"4,35",Turismo de Fiesta,Emergente
Vida Nocturna,Castilla y León,Salamanca,"3,56",1394,"4,19",Turismo de Fiesta,Emergente
Vida Nocturna,Castilla y León,Segovia,"3,86",98,"4,08",Turismo de Fiesta,Emergente
Vida Nocturna,Castilla y León,Soria,"4,19",68,"3,95",Turismo de Fiesta,Emergente
Vida Nocturna,Castilla y León,Valladolid,"4,04",525,"4,07",Turismo de Fiesta,Emergente
Vida Nocturna,Castilla y León,Zamora,"4,42",169,"4,23",Turismo de Fiesta,Emergente
Vida Nocturna,Castilla y León,Ávila,"3,9",183,"4,28",Turismo de Fiesta,Emergente
Vida Nocturna,Cataluña,Barcelona,"3,97",49988,"4,11",Turismo de Fiesta,Tradicional
Vida Nocturna,Cataluña,Girona,"3,77",5219,"4,27",Turismo de Fiesta,Tradicional
Vida Nocturna,Cataluña,Lleida,"3,84",421,"4,29",Turismo de Fiesta,Tradicional
Vida Nocturna,Cataluña,Tarragona,"4,06",8328,"4,23",Turismo de Fiesta,Tradicional
Vida Nocturna,Comunidad Foral de Navarra,Navarra,"3,7",1023,"4,26",Turismo de Fiesta,Otra
Vida Nocturna,Comunidad de Madrid,Madrid,"3,86",39199,"4,18",Turismo de Fiesta,Otra
Vida Nocturna,Comunitat Valenciana,Alicante/Alacant,"4,04",32418,"4,3",Turismo de Fiesta,Otra
Vida Nocturna,Comunitat Valenciana,Castellón/Castelló,"3,95",944,"4,26",Turismo de Fiesta,Otra
Vida Nocturna,Comunitat Valenciana,Valencia/València,"3,77",4203,"4,19",Turismo de Fiesta,Otra
Vida Nocturna,Extremadura,Badajoz,"4,28",953,"4,3",Turismo de Fiesta,Emergente
Vida Nocturna,Extremadura,Cáceres,"3,98",530,"4,39",Turismo de Fiesta,Emergente
Vida Nocturna,Galicia,A Coruña,"3,68",2546,"4,26",Turismo de Fiesta,Emergente
Vida Nocturna,Galicia,Lugo,"4,13",213,"4,3",Turismo de Fiesta,Emergente
Vida Nocturna,Galicia,Ourense,"3,63",306,"4,19",Turismo de Fiesta,Emergente
Vida Nocturna,Galicia,Pontevedra,"4,0",1147,"4,2",Turismo de Fiesta,Emergente
Vida Nocturna,Illes Balears,Illes Balears,"4,07",47817,"4,36",Turismo de Fiesta,Tradicional
Vida Nocturna,La Rioja,La Rioja,"3,79",636,"4,34",Turismo de Fiesta,Emergente
Vida Nocturna,País Vasco,Araba/Álava,"3,75",436,"4,4",Turismo de Fiesta,Emergente
Vida Nocturna,País Vasco,Bizkaia,"4,29",2331,"4,35",Turismo de Fiesta,Emergente
Vida Nocturna,País Vasco,Gipuzkoa,"4,04",2091,"4,4",Turismo de Fiesta,Emergente
Vida Nocturna,Principado de Asturias,Asturias,"4,16",4027,"4,39",Turismo de Fiesta,Otra
Vida Nocturna,Región de Murcia,Murcia,"3,5",423,"4,28",Turismo de Fiesta,Otra
