CATEGORIA,CCAA,PROVINCIA,VALORACION_POR_CATEGORIA,TOTAL_OPINIONES_CATEGORIA,VALORACION_GENERAL,TIPO_CATEGORIA,TIPO_CCAA
Activo Urbano,Canarias,Las Palmas,"4,5",39902,"4,29",Turismo de Fiesta,Tradicional
Activo Urbano,Canarias,Santa Cruz de Tenerife,"4,56",59430,"4,3",Turismo de Fiesta,Tradicional
Activo Urbano,Cantabria,Cantabria,"4,32",7367,"4,3",Turismo de Fiesta,Emergente
Activo Urbano,Castilla - La Mancha,Albacete,"4,12",569,"4,17",Turismo de Fiesta,Otra
Activo Urbano,Castilla - La Mancha,Ciudad Real,"4,66",1663,"4,32",Turismo de Fiesta,Otra
Activo Urbano,Castilla - La Mancha,Cuenca,"4,52",5182,"4,25",Turismo de Fiesta,Otra
Activo Urbano,Castilla - La Mancha,Guadalajara,"4,34",1009,"4,07",Turismo de Fiesta,Otra
Activo Urbano,Castilla - La Mancha,Toledo,"4,44",17454,"4,22",Turismo de Fiesta,Otra
Activo Urbano,Castilla y León,Burgos,"4,61",2674,"4,31",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,León,"4,41",1964,"4,28",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,Palencia,"4,56",666,"4,35",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,Salamanca,"4,35",2015,"4,19",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,Segovia,"4,09",794,"4,08",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,Soria,"4,37",320,"3,95",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,Valladolid,"4,3",2107,"4,07",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,Zamora,"4,36",115,"4,23",Turismo de Fiesta,Emergente
Activo Urbano,Castilla y León,Ávila,"4,65",488,"4,28",Turismo de Fiesta,Emergente
Activo Urbano,Cataluña,Barcelona,"4,28",329191,"4,11",Turismo de Fiesta,Tradicional
Activo Urbano,Cataluña,Girona,"4,48",8261,"4,27",Turismo de Fiesta,Tradicional
Activo Urbano,Cataluña,Lleida,"4,45",2727,"4,29",Turismo de Fiesta,Tradicional
Activo Urbano,Cataluña,Tarragona,"4,44",32641,"4,23",Turismo de Fiesta,Tradicional
Activo Urbano,Comunidad Foral de Navarra,Navarra,"4,44",8501,"4,26",Turismo de Fiesta,Otra
Activo Urbano,Comunidad de Madrid,Madrid,"4,34",287407,"4,18",Turismo de Fiesta,Otra
Activo Urbano,Comunitat Valenciana,Alicante/Alacant,"4,5",25625,"4,3",Turismo de Fiesta,Otra
Activo Urbano,Comunitat Valenciana,Castellón/Castelló,"4,58",4325,"4,26",Turismo de Fiesta,Otra
Activo Urbano,Comunitat Valenciana,Valencia/València,"4,35",38624,"4,19",Turismo de Fiesta,Otra
Activo Urbano,Extremadura,Badajoz,"4,4",467,"4,3",Turismo de Fiesta,Emergente
Activo Urbano,Extremadura,Cáceres,"4,52",13620,"4,39",Turismo de Fiesta,Emergente
Activo Urbano,Galicia,A Coruña,"4,49",9908,"4,26",Turismo de Fiesta,Emergente
Activo Urbano,Galicia,Lugo,"4,63",1367,"4,3",Turismo de Fiesta,Emergente
Activo Urbano,Galicia,Ourense,"4,2",3268,"4,19",Turismo de Fiesta,Emergente
Activo Urbano,Galicia,Pontevedra,"4,23",3789,"4,2",Turismo de Fiesta,Emergente
Activo Urbano,Illes Balears,Illes Balears,"4,51",45620,"4,36",Turismo de Fiesta,Tradicional
Activo Urbano,La Rioja,La Rioja,"4,61",5289,"4,34",Turismo de Fiesta,Emergente
Activo Urbano,Melilla,Melilla,"5,0",1,"4,41",Turismo de Fiesta,Otra
Activo Urbano,País Vasco,Araba/Álava,"4,57",2700,"4,4",Turismo de Fiesta,Emergente
Activo Urbano,País Vasco,Bizkaia,"4,46",16415,"4,35",Turismo de Fiesta,Emergente
Activo Urbano,País Vasco,Gipuzkoa,"4,54",15026,"4,4",Turismo de Fiesta,Emergente
Activo Urbano,Principado de Asturias,Asturias,"4,56",12198,"4,39",Turismo de Fiesta,Otra
Activo Urbano,Región de Murcia,Murcia,"4,58",4465,"4,28",Turismo de Fiesta,Otra
Comida y Bebida,Andalucía,Córdoba,"4,94",13,"4,33",Turismo Neutro,Tradicional
Comida y Bebida,Andalucía,Granada,"4,79",742,"4,42",Turismo Neutro,Tradicional
Comida y Bebida,Andalucía,Huelva,"1,0",1,"4,13",Turismo Neutro,Tradicional
Comida y Bebida,Andalucía,Málaga,"4,82",956,"4,45",Turismo Neutro,Tradicional
Comida y Bebida,Castilla - La Mancha,Toledo,"4,92",87,"4,22",Turismo Neutro,Otra
Comida y Bebida,Castilla y León,Valladolid,"4,33",121,"4,07",Turismo Neutro,Emergente
Comida y Bebida,Castilla y León,Ávila,"4,73",13,"4,28",Turismo Neutro,Emergente
Comida y Bebida,Cataluña,Lleida,"4,88",8,"4,29",Turismo Neutro,Tradicional
Comida y Bebida,Comunitat Valenciana,Alicante/Alacant,"4,59",617,"4,3",Turismo Neutro,Otra
Comida y Bebida,Extremadura,Cáceres,"4,5",2,"4,39",Turismo Neutro,Emergente
Comida y Bebida,Galicia,A Coruña,"4,36",27,"4,26",Turismo Neutro,Emergente
Comida y Bebida,Galicia,Lugo,"4,4",5,"4,3",Turismo Neutro,Emergente
Comida y Bebida,Galicia,Pontevedra,"4,22",93,"4,2",Turismo Neutro,Emergente
Comida y Bebida,La Rioja,La Rioja,"4,65",83,"4,34",Turismo Neutro,Emergente
Comida y Bebida,País Vasco,Araba/Álava,"4,4",154,"4,4",Turismo Neutro,Emergente
Comida y Bebida,País Vasco,Bizkaia,"4,48",289,"4,35",Turismo Neutro,Emergente
Comida y Bebida,Principado de Asturias,Asturias,"4,27",42,"4,39",Turismo Neutro,Otra
Comida y Bebida,Región de Murcia,Murcia,"4,0",106,"4,28",Turismo Neutro,Otra
Comida y Bebida,Andalucía,Almería,"5,0",6,"4,27",Turismo Neutro,Tradicional
Comida y Bebida,Andalucía,Cádiz,"4,57",47,"4,28",Turismo Neutro,Tradicional
Comida y Bebida,Andalucía,Jaén,"5,0",4,"4,36",Turismo Neutro,Tradicional
Comida y Bebida,Andalucía,Sevilla,"4,92",4019,"4,37",Turismo Neutro,Tradicional
Comida y Bebida,Aragón,Huesca,"4,6",20,"4,26",Turismo Neutro,Emergente
Comida y Bebida,Aragón,Zaragoza,"4,05",34,"4,22",Turismo Neutro,Emergente
Comida y Bebida,Canarias,Las Palmas,"3,67",279,"4,29",Turismo Neutro,Tradicional
Comida y Bebida,Canarias,Santa Cruz de Tenerife,"4,53",40,"4,3",Turismo Neutro,Tradicional
Comida y Bebida,Cantabria,Cantabria,"4,65",26,"4,3",Turismo Neutro,Emergente
Comida y Bebida,Castilla - La Mancha,Albacete,"4,88",33,"4,17",Turismo Neutro,Otra
Comida y Bebida,Castilla - La Mancha,Ciudad Real,"5,0",37,"4,32",Turismo Neutro,Otra
Comida y Bebida,Castilla - La Mancha,Cuenca,"4,68",68,"4,25",Turismo Neutro,Otra
Comida y Bebida,Castilla - La Mancha,Guadalajara,"3,0",4,"4,07",Turismo Neutro,Otra
Comida y Bebida,Castilla y León,Burgos,"4,9",158,"4,31",Turismo Neutro,Emergente
Comida y Bebida,Castilla y León,León,"4,94",231,"4,28",Turismo Neutro,Emergente
Comida y Bebida,Castilla y León,Salamanca,"4,51",47,"4,19",Turismo Neutro,Emergente
Comida y Bebida,Castilla y León,Segovia,"5,0",2,"4,08",Turismo Neutro,Emergente
Comida y Bebida,Castilla y León,Soria,"4,5",2,"3,95",Turismo Neutro,Emergente
Comida y Bebida,Cataluña,Barcelona,"4,67",2253,"4,11",Turismo Neutro,Tradicional
Comida y Bebida,Cataluña,Girona,"4,54",102,"4,27",Turismo Neutro,Tradicional
Comida y Bebida,Cataluña,Tarragona,"4,63",337,"4,23",Turismo Neutro,Tradicional
Comida y Bebida,Comunidad Foral de Navarra,Navarra,"4,67",71,"4,26",Turismo Neutro,Otra
Comida y Bebida,Comunidad de Madrid,Madrid,"4,72",3579,"4,18",Turismo Neutro,Otra
Comida y Bebida,Comunitat Valenciana,Valencia/València,"4,88",222,"4,19",Turismo Neutro,Otra
Comida y Bebida,Illes Balears,Illes Balears,"4,89",1148,"4,36",Turismo Neutro,Tradicional
Comida y Bebida,País Vasco,Gipuzkoa,"3,87",898,"4,4",Turismo Neutro,Emergente
Compras,Andalucía,Almería,"4,27",868,"4,27",Turismo de Fiesta,Tradicional
Compras,Andalucía,Cádiz,"3,91",448,"4,28",Turismo de Fiesta,Tradicional
Compras,Andalucía,Córdoba,"4,38",709,"4,33",Turismo de Fiesta,Tradicional
Compras,Andalucía,Granada,"4,35",3092,"4,42",Turismo de Fiesta,Tradicional
Compras,Andalucía,Huelva,"4,05",610,"4,13",Turismo de Fiesta,Tradicional
Compras,Andalucía,Jaén,"4,5",164,"4,36",Turismo de Fiesta,Tradicional
Compras,Andalucía,Málaga,"4,28",7606,"4,45",Turismo de Fiesta,Tradicional
Compras,Andalucía,Sevilla,"4,02",3460,"4,37",Turismo de Fiesta,Tradicional
Compras,Aragón,Huesca,"4,3",108,"4,26",Turismo de Fiesta,Emergente
Compras,Aragón,Teruel,"4,11",58,"4,31",Turismo de Fiesta,Emergente
Compras,Aragón,Zaragoza,"4,41",1098,"4,22",Turismo de Fiesta,Emergente
Compras,Canarias,Las Palmas,"3,9",6974,"4,29",Turismo de Fiesta,Tradicional
Compras,Canarias,Santa Cruz de Tenerife,"4,05",3295,"4,3",Turismo de Fiesta,Tradicional
Compras,Cantabria,Cantabria,"4,07",623,"4,3",Turismo de Fiesta,Emergente
Compras,Castilla - La Mancha,Albacete,"3,19",33,"4,17",Turismo de Fiesta,Otra
Compras,Castilla - La Mancha,Ciudad Real,"4,54",59,"4,32",Turismo de Fiesta,Otra
Compras,Castilla - La Mancha,Cuenca,"4,54",24,"4,25",Turismo de Fiesta,Otra
Compras,Castilla - La Mancha,Guadalajara,"4,56",42,"4,07",Turismo de Fiesta,Otra
Compras,Castilla - La Mancha,Toledo,"4,76",1105,"4,22",Turismo de Fiesta,Otra
Compras,Castilla y León,Burgos,"4,22",56,"4,31",Turismo de Fiesta,Emergente
Compras,Castilla y León,León,"4,32",167,"4,28",Turismo de Fiesta,Emergente
Compras,Castilla y León,Palencia,"4,23",55,"4,35",Turismo de Fiesta,Emergente
Compras,Castilla y León,Salamanca,"4,6",158,"4,19",Turismo de Fiesta,Emergente
Compras,Castilla y León,Segovia,"4,53",152,"4,08",Turismo de Fiesta,Emergente
Compras,Castilla y León,Soria,"4,48",22,"3,95",Turismo de Fiesta,Emergente
Compras,Castilla y León,Valladolid,"4,19",225,"4,07",Turismo de Fiesta,Emergente
Compras,Castilla y León,Zamora,"4,32",107,"4,23",Turismo de Fiesta,Emergente
Compras,Castilla y León,Ávila,"3,89",27,"4,28",Turismo de Fiesta,Emergente
Compras,Cataluña,Barcelona,"3,71",44614,"4,11",Turismo de Fiesta,Tradicional
Compras,Cataluña,Girona,"4,0",1884,"4,27",Turismo de Fiesta,Tradicional
Compras,Cataluña,Lleida,"4,33",90,"4,29",Turismo de Fiesta,Tradicional
Compras,Cataluña,Tarragona,"4,21",1060,"4,23",Turismo de Fiesta,Tradicional
Compras,Comunidad Foral de Navarra,Navarra,"4,3",316,"4,26",Turismo de Fiesta,Otra
Compras,Comunidad de Madrid,Madrid,"3,87",38302,"4,18",Turismo de Fiesta,Otra
Compras,Comunitat Valenciana,Alicante/Alacant,"4,14",4290,"4,3",Turismo de Fiesta,Otra
Compras,Comunitat Valenciana,Castellón/Castelló,"4,34",169,"4,26",Turismo de Fiesta,Otra
Compras,Comunitat Valenciana,Valencia/València,"3,72",27333,"4,19",Turismo de Fiesta,Otra
Compras,Extremadura,Badajoz,"4,53",229,"4,3",Turismo de Fiesta,Emergente
Compras,Extremadura,Cáceres,"4,58",179,"4,39",Turismo de Fiesta,Emergente
Compras,Galicia,A Coruña,"4,02",1896,"4,26",Turismo de Fiesta,Emergente
Compras,Galicia,Lugo,"4,39",85,"4,3",Turismo de Fiesta,Emergente
Compras,Galicia,Ourense,"3,35",93,"4,19",Turismo de Fiesta,Emergente
Compras,Galicia,Pontevedra,"4,22",1093,"4,2",Turismo de Fiesta,Emergente
Compras,Illes Balears,Illes Balears,"4,22",7386,"4,36",Turismo de Fiesta,Tradicional
Compras,La Rioja,La Rioja,"4,4",385,"4,34",Turismo de Fiesta,Emergente
Compras,País Vasco,Araba/Álava,"3,81",101,"4,4",Turismo de Fiesta,Emergente
Compras,País Vasco,Bizkaia,"3,9",308,"4,35",Turismo de Fiesta,Emergente
Compras,País Vasco,Gipuzkoa,"4,44",1726,"4,4",Turismo de Fiesta,Emergente
Compras,Principado de Asturias,Asturias,"4,42",1039,"4,39",Turismo de Fiesta,Otra
Compras,Región de Murcia,Murcia,"3,94",516,"4,28",Turismo de Fiesta,Otra
Museos,Andalucía,Almería,"4,44",1781,"4,27",Turismo Pausado,Tradicional
Museos,Andalucía,Cádiz,"4,4",2289,"4,28",Turismo Pausado,Tradicional
Museos,Andalucía,Córdoba,"4,38",10718,"4,33",Turismo Pausado,Tradicional
